    PID TTY          TIME CMD
      1 ?        00:00:04 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      5 ?        00:00:00 slub_flushwq
      6 ?        00:00:00 netns
      8 ?        00:00:00 kworker/0:0H-events_highpri
     11 ?        00:00:00 mm_percpu_wq
     12 ?        00:00:00 rcu_tasks_kthread
     13 ?        00:00:00 rcu_tasks_rude_kthread
     14 ?        00:00:00 rcu_tasks_trace_kthread
     15 ?        00:00:02 ksoftirqd/0
     16 ?        00:04:15 rcu_preempt
     17 ?        00:00:09 migration/0
     18 ?        00:00:00 idle_inject/0
     19 ?        00:00:00 cpuhp/0
     20 ?        00:00:00 cpuhp/2
     21 ?        00:00:00 idle_inject/2
     22 ?        00:00:13 migration/2
     23 ?        00:00:00 ksoftirqd/2
     25 ?        00:00:00 kworker/2:0H-events_highpri
     26 ?        00:00:00 cpuhp/4
     27 ?        00:00:00 idle_inject/4
     28 ?        00:00:05 migration/4
     29 ?        00:00:26 ksoftirqd/4
     31 ?        00:00:00 kworker/4:0H-events_highpri
     32 ?        00:00:00 cpuhp/6
     33 ?        00:00:00 idle_inject/6
     34 ?        00:00:08 migration/6
     35 ?        00:00:13 ksoftirqd/6
     37 ?        00:00:00 kworker/6:0H-events_highpri
     38 ?        00:00:00 cpuhp/8
     39 ?        00:00:00 idle_inject/8
     40 ?        00:00:14 migration/8
     41 ?        00:00:02 ksoftirqd/8
     43 ?        00:00:00 kworker/8:0H-events_highpri
     44 ?        00:00:00 cpuhp/10
     45 ?        00:00:00 idle_inject/10
     46 ?        00:00:12 migration/10
     47 ?        00:00:01 ksoftirqd/10
     49 ?        00:00:00 kworker/10:0H-events_highpri
     50 ?        00:00:00 cpuhp/12
     51 ?        00:00:00 idle_inject/12
     52 ?        00:00:17 migration/12
     53 ?        00:00:00 ksoftirqd/12
     55 ?        00:00:00 kworker/12:0H-events_highpri
     56 ?        00:00:00 cpuhp/13
     57 ?        00:00:00 idle_inject/13
     58 ?        00:00:11 migration/13
     59 ?        00:00:00 ksoftirqd/13
     61 ?        00:00:00 kworker/13:0H-events_highpri
     62 ?        00:00:00 cpuhp/14
     63 ?        00:00:00 idle_inject/14
     64 ?        00:00:08 migration/14
     65 ?        00:00:00 ksoftirqd/14
     67 ?        00:00:00 kworker/14:0H-events_highpri
     68 ?        00:00:00 cpuhp/15
     69 ?        00:00:00 idle_inject/15
     70 ?        00:00:06 migration/15
     71 ?        00:00:00 ksoftirqd/15
     73 ?        00:00:00 kworker/15:0H-events_highpri
     74 ?        00:00:00 cpuhp/16
     75 ?        00:00:00 idle_inject/16
     76 ?        00:00:04 migration/16
     77 ?        00:00:00 ksoftirqd/16
     79 ?        00:00:00 kworker/16:0H-events_highpri
     80 ?        00:00:00 cpuhp/17
     81 ?        00:00:00 idle_inject/17
     82 ?        00:00:04 migration/17
     83 ?        00:00:00 ksoftirqd/17
     85 ?        00:00:00 kworker/17:0H-events_highpri
     86 ?        00:00:00 cpuhp/18
     87 ?        00:00:00 idle_inject/18
     88 ?        00:00:07 migration/18
     89 ?        00:00:04 ksoftirqd/18
     91 ?        00:00:00 kworker/18:0H-events_highpri
     92 ?        00:00:00 cpuhp/19
     93 ?        00:00:00 idle_inject/19
     94 ?        00:00:01 migration/19
     95 ?        00:00:00 ksoftirqd/19
     97 ?        00:00:00 kworker/19:0H-events_highpri
     98 ?        00:00:00 cpuhp/1
     99 ?        00:00:00 idle_inject/1
    100 ?        00:00:04 migration/1
    101 ?        00:00:00 ksoftirqd/1
    103 ?        00:00:00 kworker/1:0H-events_highpri
    104 ?        00:00:00 cpuhp/3
    105 ?        00:00:00 idle_inject/3
    106 ?        00:00:02 migration/3
    107 ?        00:00:00 ksoftirqd/3
    109 ?        00:00:00 kworker/3:0H-events_highpri
    110 ?        00:00:00 cpuhp/5
    111 ?        00:00:00 idle_inject/5
    112 ?        00:00:02 migration/5
    113 ?        00:00:15 ksoftirqd/5
    115 ?        00:00:00 kworker/5:0H-events_highpri
    116 ?        00:00:00 cpuhp/7
    117 ?        00:00:00 idle_inject/7
    118 ?        00:00:02 migration/7
    119 ?        00:00:25 ksoftirqd/7
    121 ?        00:00:00 kworker/7:0H-events_highpri
    122 ?        00:00:00 cpuhp/9
    123 ?        00:00:00 idle_inject/9
    124 ?        00:00:02 migration/9
    125 ?        00:00:00 ksoftirqd/9
    127 ?        00:00:00 kworker/9:0H-events_highpri
    128 ?        00:00:00 cpuhp/11
    129 ?        00:00:00 idle_inject/11
    130 ?        00:00:02 migration/11
    131 ?        00:00:00 ksoftirqd/11
