10000.0,Steuerung1.Duration_ns,STEUERUNG1.ActualLatency_ns
1,0,128
2,0,128
3,0,128
4,0,128
5,0,128
6,0,0
7,0,0
8,0,128
9,0,128
10,0,128
11,0,128
12,0,128
13,0,128
14,0,128
15,0,0
16,0,128
17,0,128
18,0,128
19,0,128
20,0,128
21,0,128
22,0,128
23,0,0
24,0,128
25,0,128
26,0,128
27,0,128
28,0,128
29,0,128
30,0,128
31,0,0
32,0,0
33,0,128
34,0,128
35,0,128
36,0,128
37,0,128
38,0,128
39,0,0
40,0,0
41,0,128
42,0,128
43,0,128
44,0,128
45,0,128
46,0,128
47,0,0
48,0,0
49,0,128
50,0,128
51,0,128
52,0,128
53,0,128
54,0,128
55,0,128
56,0,128
57,0,128
58,0,128
59,0,128
60,0,128
61,0,128
62,0,128
63,0,0
64,0,0
65,0,128
66,0,128
67,0,128
68,0,128
69,0,128
70,0,128
71,0,0
72,0,0
73,0,128
74,0,128
75,0,128
76,0,128
77,0,128
78,0,128
79,0,0
80,0,0
81,0,128
82,0,128
83,0,128
84,0,128
85,0,128
86,0,128
87,0,0
88,0,0
89,0,128
90,0,128
91,0,128
92,0,128
93,0,128
94,0,128
95,0,128
96,0,0
97,0,128
98,0,128
99,0,128
100,0,128
101,0,128
102,0,128
103,0,0
104,0,0
105,0,128
106,0,128
107,0,128
108,0,128
109,0,128
110,0,128
111,0,0
112,0,0
113,0,128
114,0,128
115,0,128
116,0,128
117,0,128
118,0,128
119,0,0
120,0,0
121,0,128
122,0,128
123,0,128
124,0,128
125,0,128
126,0,128
127,0,0
128,0,0
129,0,128
130,0,128
131,0,128
132,0,128
133,0,128
134,0,128
135,0,0
136,0,0
137,0,128
138,0,128
139,0,128
140,0,128
141,0,128
142,0,128
143,0,0
144,0,0
145,0,128
146,0,128
147,0,128
148,0,128
149,0,128
150,0,128
151,0,0
152,0,0
153,0,128
154,0,128
155,0,128
156,0,128
157,0,128
158,0,128
159,0,0
160,0,0
161,0,128
162,0,128
163,0,128
164,0,128
165,0,128
166,0,128
167,0,128
168,0,0
169,0,0
170,0,128
171,0,128
172,0,128
173,0,128
174,0,128
175,0,128
176,0,128
177,0,0
178,0,128
179,0,128
180,0,128
181,0,128
182,0,128
183,0,128
184,0,0
185,0,0
186,0,128
187,0,128
188,0,128
189,0,128
190,0,128
191,0,128
192,0,0
193,0,0
194,0,128
195,0,128
196,0,128
197,0,128
198,0,128
199,0,128
200,0,0
201,0,0
202,0,128
203,0,128
204,0,128
205,0,128
206,0,128
207,0,128
208,0,0
209,0,0
210,0,128
211,0,128
212,0,128
213,0,128
214,0,128
215,0,128
216,0,0
217,0,128
218,0,128
219,0,128
220,0,128
221,0,128
222,0,128
223,0,128
224,0,0
225,0,0
226,0,128
227,0,128
228,0,128
229,0,128
